"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"158","1.149533","206.247.43.169","10.9.14.244","UDP","912","8801  >  63404 Len=870","",""
"159","1.149533","206.247.43.169","10.9.14.244","UDP","860","8801  >  63404 Len=818","",""
"160","1.149533","206.247.43.169","10.9.14.244","UDP","860","8801  >  63404 Len=818","",""
"161","1.149533","206.247.43.169","10.9.14.244","UDP","860","8801  >  63404 Len=818","",""
"162","1.149533","206.247.43.169","10.9.14.244","UDP","859","8801  >  63404 Len=817","",""
"163","1.159357","206.247.43.169","10.9.14.244","UDP","859","8801  >  63404 Len=817","",""
"164","1.180877","206.247.43.169","10.9.14.244","UDP","1040","8801  >  63404 Len=998","",""
"165","1.202488","206.247.43.169","10.9.14.244","TCP","56","443  >  63136 [ACK] Seq=254 Ack=816 Win=16 Len=0","","0x010"
"166","1.210235","206.247.43.169","10.9.14.244","TLSv1.2","97","Application Data","","0x018"
"167","1.210235","206.247.43.169","10.9.14.244","UDP","524","8801  >  63404 Len=482","",""
"168","1.210235","206.247.43.169","10.9.14.244","UDP","524","8801  >  63404 Len=482","",""
